,sentence,entity,score
4,　　东方证券表示，全球经济明年潜在的风险在于三方面：一是美国快速加息，引发全球资产大幅变动；二是大幅提高导致全球通胀加速；三是朝核问题引发地缘政治冲突,['东方证券'],[0]
15,　　有鹏博士公司内部人士对证券时报记者表示，总经理陆榴曾前后约有5年时长在海外，对公司会议多以视频方式参加，但对具体是何原因在海外不能确定,['鹏博士'],[0]
14,　　对此，高能环境方面直言，股票价格的波动是市场行为，请投资者注意投资风险,['高能环境'],[0]
5,　　　　贝因美发布的业绩预告修正公告，引发了该公司自成立以来严重的业绩危机,['贝因美'],[-1]
11,就在上周，浙江卫视方面发起针对唐德影视提起不正当竞争诉讼，要求唐德影视立即停止使用《中国好声音》节目名称，并赔偿1.2亿元经济损失,['唐德影视'],[-1]
22,　　对于跨界收购而来的医疗服务业务，创新医疗则是信心爆棚，其在公告中称，医疗服务行业作为抗经济周期的消费性行业，具备巨大的发展空间，公司将逐步发展成为国内一流的医疗服务集团,['创新医疗'],[1]
1,　　周二（2月28日），造纸板块午后震荡走强，截至发稿，银鸽投资涨停、涨4.89%、涨3.18%，、、均有不俗表现,['银鸽投资'],[1]
5,　　当天，复星医药还发布了2017年年报,['复星医药'],[0]
5,　　这被外界认为，依靠成熟先进的仓储系统，新蛋平台将更快把中国优质产品送到客户手中，提升消费体验，而消费体验的提升，也有助于联络互动打造有自己特性的新零售商业模式,['联络互动'],[1]
0,电子信息板块今天涨停的也不少，如、、、思达高科、、、等,['思达高科'],[1]
37,对于长城汽车来说，现有产品油耗较大，需要加快新能源车型的推进,['长城汽车'],[0]
1,　　值得一提的是，2018年2月6日以来，*ST海润处于重大资产重组停牌期，可能涉及资产出售等事项，其表示“正积极推进重大资产重组相关的各项工作，组织并协助相关部门和中介机构开展方案确定、尽职调查、审计、评估等各项工作,['ST海润'],[1]
0,”中国石油大学工商管理学院天然气专家刘毅军教授告诉上证报记者，春节期间很多工厂会停工，工业用气需求明显下降，加上今年春节较晚，节后过不了多久，采暖季供暖也要停止，天然气供应紧张会进一步缓解,['中国石油'],[0]
15,　　相较其他问询函，此次问询所涉问题并不算多，然而顾地科技已延期20日未予答复,['顾地科技'],[-1]
18,此外，举报人称顾颉曾当场表示，多个账户早已建仓爱建集团，前九大基金等相关账户持股比例已超过 12.3%,['爱建集团'],[1]
4,　　据石化油服工程建设公司总经理杜广义介绍，石化油服于2015年整合成立节能环保专业子公司，经过三年的探索，初步形成了集产业、科技、人才和资金支撑、具有国际竞争力的节能环保工程科技队伍,['石化油服'],[1]
6,贵州茅台相关负责人对《证券日报》记者表示，茅台属于省管干部，公司所有的人事安排都是省里进行安排的,['贵州茅台'],[0]
8,当然，此意向还建立在颜华将自己持有的华昌达股票投票权委托给上市公司二股东石河子德梅柯的基础上，以确保上市公司正常的生产经营,['华昌达'],[0]
1,阿里巴巴集团子公司淘宝(中国)软件有限公司拟以283亿元人民币认购苏宁云商2015年非公开发行股份，约占后者股本总额的19.99%，阿里巴巴集团由此将成为苏宁云商第二大股东,['苏宁云商'],[0]
5,　　不过，无论二三四五如何纠结于主业，其几个股东已经通过减持股份赚得盆满钵满,['二三四五'],[-1]
1,除了上述提到的沪电股份外，摩根士丹利、瑞士信贷银行、群益证券等QFII还集中调研了；麦格理银行、高盛则调研了,['沪电股份'],[0]
19,“万科从之前的房屋建造销售商，到城市配套服务商，再到如今的人民美好生活场景师，都是万科基于时代要求和趋势引领下的创造性改变,['万科'],[1]
0,项目信息显示，该项目见证机构为宁波银行，项目撮合机构为“宁波银行直销银行”投融资平台，即广东网金控股股份有限公司提供项目投资人和融资人的投资交易撮合服务，并与投资人与融资人签署相关协议，项目承保机构为永安财产保险股份有限公司,['宁波银行'],[0]
1,　　联美控股主营业务包括供热、供电、供汽、房屋租赁、市政建设、工程施工、物业管理，供热、供电、工程及接网收入是公司主要收入来源，自2016年5月完成重组后，拟向 “环保新能源综合运营商”方向转型，截至2017年三季度末，总资产99.8亿元，净利润4.79亿元，总负债31.5多亿元,['联美控股'],[0]
0,刚刚披露结束的基金一季报显示，贵州茅台当仁不让超越成为基金头号重仓股,['贵州茅台'],[1]
1,近期，香飘飘再度向A股市场“杯装奶茶第一股”发起了冲击,['香飘飘'],[0]
28,一旦公司难以保证业绩增长，因收购形成的商誉恐怕将再次成为安妮股份的业绩毒药,['安妮股份'],[-1]
33,万科构建了交通运输更便捷、防火等级更高、自动化更强的“现代仓”，并在仓库中建立物联网，可以在总部检测到所有设备的运行状态，可以在最短时间内派员维护,['万科'],[0]
13,但在深天地A公布的方案里，友德医的交易价格为20亿元，预估增值率超2400%；赢医通的交易价格为35亿元，估增值率超22000%,['深天地'],[0]
